Curriculum,BSCS-Computer Science,,,,,,,,
Institution,USF,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0101,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
28218,Intermediate Algebra,MAT,1033,,,,3,,
25855,College Algebra,MAC,1105,28218,,,3,,
25856,Precalculus Trigonometry,MAC,1114,25855,27685,,2,,
27685,Precalculus Algebra,MAC,1140,25855,,,3,,
24950,Engineering Calculus I,MAC,2281,25856;27685,,,4,,
23525,Composition I,ENC,1101,,,,3,,
23287,Foundations of Engineering Lab,EGN,3000L,,,,3,,
28172,Foundations of Engineering,EGN,3000,,,,0,,
3,Natural Science Elective (Life or Physical),,,,,,3,,
24951,Engineering Calculus II,MAC,2282,24950,,,4,,
23526,Composition II,ENC,1102,23525,,,3,,
26014,General Physics I - Calculus Based,PHY,2048,24950,,,3,,
23738,Programming Concepts,COP,2510,24950,,,3,,
26015,General Physics I Laboratory,PHY,2048L,24950,,26014,1,,
24952,Engineering Calculus III,MAC,2283,24951,,,4,,
26016,General Physics II - Calculus Based,PHY,2049,24951;26014;26015,,,3,,
26655,Program Design,COP,3514,23738,,,3,,
26017,General Physics II Laboratory,PHY,2049L,24951;26014;26015,,26016,1,,
5,State Social Science Gen Ed,SGES,,,,,3,,
24493,Computer Organization,CDA,3103,23738;26016,,,3,,
6,State Humanities Gen Ed,SGEH,,,,,3,,
23739,Introduction to Discrete Structures,COT,3100,24950,,,3,,
24641,Object Oriented Software Design,COP,3331,26655,24493,,3,,
27726,Computer Logic and Design,CDA,3201,24493;26655,,,3,,
28111,Data Structures,COP,4530,23739;24641;24493,,,3,,
26647,Introduction to Linear Systems,EGN,4450,24951,,,2,,
23435,Computer Logic and Design Lab,CDA,3201L,,,27726,1,,
23996,Analysis Of Algorithms,COT,4400,23739;28111,,,3,,
24494,Computer Architecture,CDA,4205,27726;23435,,,3,,
25983,Probability and Statistics for Engineers,EGN,3443,24951,,,3,,
8,CSE Software Elective,,,,,,3,,
9,Natural Science Elective (Life or Physical),,,,,,3,,
27719,Communication for Engineers,ENC,3246,,,,3,,
23860,Operating Systems,COP,4600,28111,,,3,,
10,CSE Elective,,,,,,3,,
11,CSE Software Elective,,,,,,3,,
12,CSE Theory Elective,,,,,,3,,
13,Internship/Co-op Participation,,,,,,0,,
14,CSE Elective,,,,,,3,,
15,Human & Cultural Diversity Gen Ed,TGED,,,,,3,,
30262,Secure Coding,CNT,4419,28111,,,3,,
16,General Elective,,,,,,3,,
17,General Elective,,,,,,3,,
26844,Ethical Issues And Professional Conduct,CIS,4250,,,,3,,
19,CSE Elective,,,,,,3,,
20,CSE Elective,,,,,,3,,
24267,Software Engineering,CEN,4020,28111,,,3,,
22,CSE Elective,,,,,,1,,
